player_id,player_name,club_id,start_date,end_date,manager_id,manager_name,start_value,peak_value,end_value
59377,David de Gea,985,2016-08-07,2018-12-16,25,José Mourinho,40000000,70000000,70000000
59377,David de Gea,985,2018-12-22,2021-11-20,40,Ole Gunnar Solskjær,70000000,65000000,18000000
59377,David de Gea,985,2021-12-05,2022-05-22,46,Ralf Rangnick,18000000,18000000,15000000
59377,David de Gea,985,2022-08-07,2023-06-03,18,Erik ten Hag,15000000,15000000,15000000
258919,Dean Henderson,985,2016-02-22,2016-05-21,29,Louis van Gaal,,,
258919,Dean Henderson,985,2016-08-07,2018-12-16,25,José Mourinho,,1000000,1000000
258919,Dean Henderson,985,2018-12-22,2021-11-20,40,Ole Gunnar Solskjær,1000000,22000000,22000000
258919,Dean Henderson,985,2021-12-05,2022-05-07,46,Ralf Rangnick,22000000,18000000,18000000
258886,Demetri Mitchell,985,2017-05-14,2017-05-21,25,José Mourinho,,,
620362,Dermot Mee,985,2024-03-09,2024-03-09,18,Erik ten Hag,,,
531677,Di'Shon Bernard,985,2019-11-28,2019-11-28,40,Ole Gunnar Solskjær,,,
357147,Diogo Dalot,985,2018-09-19,2018-12-16,25,José Mourinho,15000000,,15000000
357147,Diogo Dalot,985,2018-12-22,2021-11-20,40,Ole Gunnar Solskjær,15000000,20000000,10000000
357147,Diogo Dalot,985,2021-12-05,2022-05-22,46,Ralf Rangnick,10000000,18000000,18000000
357147,Diogo Dalot,985,2022-08-07,2024-03-17,18,Erik ten Hag,20000000,40000000,35000000
179451,Donald Love,985,2016-02-13,2016-02-25,29,Louis van Gaal,,,
288255,Donny van de Beek,985,2020-09-19,2021-11-20,40,Ole Gunnar Solskjær,44000000,44000000,25000000
288255,Donny van de Beek,985,2021-12-05,2022-05-22,46,Ralf Rangnick,25000000,25000000,25000000
